"","Measurement Year","Measure Name","Statewide Average","Medical Group Name","Clinic Name","Clinic City","Clinic Zip Code","Denominator","Actual Rate","Expected Rate","Healthscore Rating","County","Metropolitan.Micropolitan.Statistical.Area","FIPS.County.Code","police_score","sk2014","total_covid_count21","Days.with.AQI","Good.Days","Unhealthy.Days","Max.AQI","Median.AQI","educ_pct"
"1",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Allina Mental Health - ANW","Minneapolis",55407,38,0.4474,0.4058,"Expected","Hennepin","Metropolitan Statistical Area",53,34,0.450817622828358,47554264,365,263,3,155,39,53.2
"2",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Allina Mental Health - United","St. Paul",55102,47,0.4894,0.3814,"Expected","Ramsey","Metropolitan Statistical Area",123,51,0.671280159383919,19903324,365,295,0,148,30,44.5
"3",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Bloomington","Bloomington",55425,46,0.2826,0.3875,"Expected","Hennepin","Metropolitan Statistical Area",53,53,0.450817622828358,47554264,365,263,3,155,39,53.2
"4",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Buffalo","Buffalo",55313,55,0.4,0.4146,"Expected","Wright","Metropolitan Statistical Area",171,50,-0.0671280159383919,6331190,357,267,2,182,39,34.9
"5",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Cambridge","Cambridge",55008,108,0.3704,0.3951,"Expected","Isanti","Metropolitan Statistical Area",59,52,0.212689818920589,1667287,NA,NA,NA,NA,NA,NA
"6",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Champlin","Champlin",55316,47,0.4255,0.4094,"Expected","Hennepin","Metropolitan Statistical Area",53,58,0.450817622828358,47554264,365,263,3,155,39,53.2
"7",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Coon Rapids","Coon Rapids",55433,185,0.4108,0.4034,"Expected","Anoka","Metropolitan Statistical Area",3,59,-0.566701776658845,16326872,365,280,2,159,39,32.3
"8",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Cottage Grove","Cottage Grove",55016,45,0.3778,0.4125,"Expected","Washington","Metropolitan Statistical Area",163,60,-0.291123605964394,10461619,227,205,0,119,35,48.8
"9",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Eagan","Eagan",55121,43,0.4651,0.3972,"Expected","Dakota","Metropolitan Statistical Area",37,63,-0.279111224164893,17626295,365,303,2,155,30,43.6
"10",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Elk River","Elk River",55330,31,0.3871,0.3999,"Expected","Sherburne","Metropolitan Statistical Area",141,57,-0.303842598457984,4589038,NA,NA,NA,NA,NA,25.8
"11",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Faribault","Faribault",55021,69,0.3333,0.3823,"Expected","Rice","Micropolitan Statistical Area",131,59,0.187251833933409,3097641,NA,NA,NA,NA,NA,30.6
"12",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Farmington","Farmington",55024,34,0.3235,0.4157,"Expected","Dakota","Metropolitan Statistical Area",37,62,-0.279111224164893,17626295,365,303,2,155,30,43.6
"13",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Forest Lake","Forest Lake",55025,37,0.4054,0.4,"Expected","Washington","Metropolitan Statistical Area",163,56,-0.291123605964394,10461619,227,205,0,119,35,48.8
"14",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Hastings","Hastings",55033,52,0.3077,0.4195,"Expected","Dakota","Metropolitan Statistical Area",37,50,-0.279111224164893,17626295,365,303,2,155,30,43.6
"15",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Inver Grove Heights","Inver Grove Hts",55076,32,0.3438,0.412,"Expected","Dakota","Metropolitan Statistical Area",37,NA,-0.279111224164893,17626295,365,303,2,155,30,43.6
"16",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Isanti","Isanti",55040,33,0.4848,0.3987,"Expected","Isanti","Metropolitan Statistical Area",59,NA,0.212689818920589,1667287,NA,NA,NA,NA,NA,NA
"17",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Maple Grove","Maple Grove",55369,44,0.5682,0.4025,"Expected","Hennepin","Metropolitan Statistical Area",53,62,0.450817622828358,47554264,365,263,3,155,39,53.2
"18",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - New Ulm Medical Center","New Ulm",56073,67,0.2985,0.4107,"Expected","Brown","Micropolitan Statistical Area",15,52,1.61177899321549,1193551,NA,NA,NA,NA,NA,NA
"19",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Northfield","Northfield",55057,144,0.4792,0.4102,"Expected","Rice","Micropolitan Statistical Area",131,55,0.187251833933409,3097641,NA,NA,NA,NA,NA,30.6
"20",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Ramsey","Ramsey",55303,41,0.2195,0.4,"Expected","Anoka","Metropolitan Statistical Area",3,59,-0.566701776658845,16326872,365,280,2,159,39,32.3
"21",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Richfield","Richfield",55423,39,0.3846,0.3796,"Expected","Hennepin","Metropolitan Statistical Area",53,48,0.450817622828358,47554264,365,263,3,155,39,53.2
