ZIP,Breakdown,Cases
55001,2,29
55002,0,0
55003,3,72
55005,2,43
55006,2,30
55007,2,22
55008,4,174
55009,3,92
55010,0,0
55011,4,148
55012,2,37
55013,4,110
55014,6,533
55016,6,672
55017,2,10
55018,1,5
55019,2,14
55020,2,47
55021,8,1099
55024,6,516
55025,5,346
55026,1,5
55027,2,31
55029,0,0
55030,2,22
55031,2,19
55032,2,40
55033,5,496
55036,1,5
55037,2,40
55038,5,410
55040,4,182
55041,3,73
55042,4,222
55043,2,39
55044,8,1096
55045,3,95
55046,3,59
55047,2,27
55049,2,32
55051,4,114
55052,2,22
55053,1,5
55054,2,43
55055,3,97
55056,4,179
55057,5,292
55060,6,574
55063,3,83
55065,2,14
55066,4,158
55067,0,0
55068,6,509
55069,2,47
55070,4,113
55071,4,127
55072,4,199
55073,2,27
55074,2,34
55075,6,516
55076,5,479
55077,5,339
55078,0,0
55079,3,97
55080,2,31
55082,6,604
55083,1,5
55084,2,17
55085,1,5
55087,1,5
55088,2,25
55089,2,25
55090,1,5
55092,4,142
55101,4,131
55102,5,392
55103,5,410
55104,8,1013
55105,5,353
55106,null,1710
55107,5,479
55108,5,283
55109,7,941
55110,6,674
55111,1,5
55112,8,1086
55113,7,899
55114,4,117
55115,4,172
55116,5,484
55117,8,1341
55118,7,781
55119,8,1128
55120,3,87
55121,4,223
55122,6,636
55123,5,443
55124,8,1123
55125,7,814
55126,5,405
55127,5,301
55128,6,634
55129,6,589
55130,6,666
55133,0,0
55144,1,5
55145,0,0
55146,0,0
55150,1,5
55155,1,5
55161,0,0
55164,1,5
55165,0,0
55166,0,0
55168,1,5
55169,0,0
55170,0,0
55171,0,0
55172,0,0
55175,0,0
55177,0,0
55187,1,5
55188,0,0
55191,0,0
55301,4,240
55302,4,112
55303,7,948
55304,7,838
55305,5,380
55306,5,472
55307,2,50
55308,3,93
55309,5,276
55310,2,19
55311,6,632
55312,2,12
55313,5,374
55314,2,23
55315,4,103
55316,6,507
55317,5,343
55318,6,545
55319,2,46
55320,3,60
55321,3,55
55322,2,42
55323,0,0
55324,2,13
55325,2,48
55327,3,100
55328,4,114
55329,2,29
55330,6,601
55331,5,359
55332,2,14
55333,2,12
55334,3,65
55335,2,37
55336,4,231
55337,8,1143
55338,2,16
55339,2,10
55340,4,103
55341,2,46
55342,2,27
55343,6,668
55344,5,379
55345,5,298
55346,5,274
55347,5,383
55348,0,0
55349,2,50
55350,4,178
55352,4,163
55353,2,35
55354,3,58
55355,4,123
55356,3,92
55357,3,56
55358,3,69
55359,3,60
55360,2,47
55361,0,0
55362,5,317
55363,3,77
55364,4,197
55365,0,0
55366,1,5
55367,2,12
55368,2,28
55369,7,767
55370,1,5
55371,4,198
55372,6,588
55373,3,65
55374,5,287
55375,3,54
55376,5,352
55377,0,0
55378,6,637
55379,8,1186
55380,0,0
55381,2,15
55382,2,37
55383,0,0
55384,3,55
55385,2,7
55386,4,140
55387,4,236
55388,3,55
55389,2,25
55390,2,45
55391,5,291
55392,0,0
55393,0,0
55394,0,0
55395,2,36
55396,2,25
55397,2,22
55398,4,190
55399,1,5
55401,4,243
55402,2,20
55403,5,358
55404,8,1408
55405,5,421
55406,6,726
55407,8,1543
55408,8,1222
55409,5,329
55410,4,242
55411,8,1137
55412,6,590
55413,5,374
55414,7,863
55415,4,139
55416,6,719
55417,5,373
55418,7,781
55419,5,452
55420,6,687
55421,8,1117
55422,6,689
55423,8,1123
55424,4,208
55425,5,349
55426,6,628
55427,6,543
55428,8,1350
55429,8,1046
55430,7,944
55431,5,389
55432,7,943
55433,7,794
55434,6,666
55435,5,310
55436,5,301
55437,5,359
55438,4,246
55439,4,151
55440,2,24
55441,5,336
55442,4,171
55443,8,1260
55444,6,525
55445,5,384
55446,5,389
55447,5,312
55448,6,631
55449,6,671
55450,1,5
55454,5,454
55455,2,14
55458,1,5
55459,0,0
55460,0,0
55467,0,0
55468,0,0
55470,1,5
55472,0,0
55473,1,5
55474,0,0
55478,0,0
55479,0,0
55480,0,0
55483,0,0
55484,0,0
55485,0,0
55486,0,0
55487,0,0
55488,1,5
55550,0,0
55551,0,0
55552,0,0
55553,0,0
55554,0,0
55555,1,5
55556,0,0
55557,0,0
55558,0,0
55559,0,0
55560,0,0
55561,0,0
55562,0,0
55563,0,0
55564,0,0
55565,0,0
55566,0,0
55567,0,0
55568,0,0
55569,0,0
55570,0,0
55571,0,0
55572,0,0
55573,0,0
55574,0,0
55575,0,0
55576,0,0
55577,0,0
55578,0,0
55579,0,0
55580,0,0
55581,1,5
55582,0,0
55583,0,0
55584,0,0
55585,0,0
55586,0,0
55587,0,0
55588,0,0
55589,0,0
55590,0,0
55591,0,0
55592,0,0
55593,0,0
55594,0,0
55595,0,0
55596,0,0
55597,0,0
55598,0,0
55599,0,0
55601,1,5
55602,0,0
55603,1,5
55604,1,5
55605,1,5
55606,0,0
55607,1,5
55609,1,5
55612,1,5
55613,1,5
55614,2,28
55615,1,5
55616,2,50
55702,1,5
55703,1,5
55704,1,5
55705,2,17
55706,2,14
55707,2,33
55708,2,10
55709,3,64
55710,2,13
55711,2,7
55712,1,5
55713,1,5
55716,2,13
55717,1,5
55718,2,19
55719,2,44
55720,4,152
55721,2,47
55722,2,18
55723,2,9
55724,1,5
55725,1,5
55726,2,12
55730,0,0
55731,2,41
55732,2,11
55733,3,61
55734,3,80
55735,2,8
55736,2,7
55738,1,5
55741,2,41
55742,1,5
55744,4,249
55745,0,0
55746,4,174
55747,0,0
55748,2,23
55749,1,5
55750,2,17
55751,1,5
55752,2,9
55753,2,9
55756,1,5
55757,2,8
55758,0,0
55760,2,17
55763,1,5
55764,2,10
55765,2,30
55766,1,5
55767,3,61
55768,2,25
55769,2,31
55771,2,17
55772,2,8
55775,2,21
55777,0,0
55779,2,43
55780,1,5
55781,2,10
55782,1,5
55783,2,24
55784,0,0
55785,2,8
55786,2,10
55787,1,5
55790,2,19
55792,3,59
55793,2,12
55795,3,87
55797,2,12
55798,1,5
55802,2,39
55803,4,237
55804,4,160
55805,4,193
55806,4,102
55807,3,89
55808,3,64
55810,4,102
55811,5,437
55812,4,234
55814,0,0
55815,0,0
55816,1,5
55901,8,1094
55902,5,286
55903,2,19
55904,7,853
55905,1,5
55906,5,264
55909,2,17
55910,1,5
55912,8,1316
55917,2,31
55918,2,7
55919,2,26
55920,4,127
55921,2,20
55922,1,5
