"","department","score"
"1","Mapleton  ","50"
"2","Slayton  ","50"
"3","Spring Valley Preston  ","50"
"4","Proctor  ","50"
"5","Plainview  ","50"
"6","Alexandria  ","50"
"7","Cold Spring  ","50"
"8","Wayzata  ","50"
"9","Hugo  ","50"
"10","Buffalo  ","50"
"11","Hastings  ","50"
"12","Chaska  ","50"
"13","Shoreview St Paul  ","50"
"14","Brownton  ","50"
"15","Blackduck  ","50"
"16","Dps Chanhassen  ","51"
"17","Belgrade  ","51"
"18","Rosemount  ","51"
"19","Hopkins  ","51"
"20","Fergus Falls  ","51"
"21","Centennial Lakes  ","51"
"22","Little Falls  ","51"
"23","St. Joseph  ","51"
"24","International Falls  ","51"
"25","Windom  ","51"
"26","Ortonville  ","51"
"27","North Oaks St Paul  ","52"
"28","Dilworth  ","52"
"29","Long Prairie  ","52"
"30","Caledonia  ","52"
"31","Dawson  ","52"
"32","Springfield  ","52"
"33","Babbitt  ","52"
"34","New Richland  ","52"
"35","Hokah  ","52"
"36","Cambridge  ","52"
"37","St. Francis  ","52"
"38","Winsted  ","52"
"39","Lake Elmo  ","52"
"40","West St. Paul  ","52"
"41","Arden Hills  ","52"
"42","Andover Anoka  ","52"
"43","Golden Valley  ","52"
"44","Austin  ","52"
"45","Vadnais Heights St Paul  ","52"
"46","Marshall  ","52"
"47","Brainerd  ","52"
"48","New Ulm  ","52"
"49","East Bethel Anoka  ","52"
"50","Canby  ","53"
"51","Falcon Heights  ","53"
"52","Tracy  ","53"
"53","Mountain Lake  ","53"
"54","Crosby  ","53"
"55","Albany  ","53"
"56","Ely  ","53"
"57","Zumbrota  ","53"
"58","Newport  ","53"
"59","Melrose  ","53"
"60","St. Peter  ","53"
"61","Corcoran  ","53"
"62","Mahtomedi  ","53"
"63","Waseca  ","53"
"64","White Bear Township White Bear Lake  ","53"
"65","North Mankato  ","53"
"66","Red Wing  ","53"
"67","Orono  ","53"
"68","New Brighton Department Of Public Safety  ","53"
"69","Fridley  ","53"
"70","Wells  ","54"
"71","Blooming Prairie  ","54"
"72","Clara City  ","54"
"73","Stillwater  ","54"
"74","Houston  ","54"
"75","Elmore  ","54"
