"Homeownership rate"
"By county, Minnesota, 1990-2021"
""
"","1990","2000","2007-2011","2012-2016","2017-2021"
"Aitkin"
"Homeownership rate","83.9%","85.4%","82.1%","82.6%","84.7%"
"Homeownership rate, Margin of Error","","","+/- 0.7%","+/- 3.8%","+/- 1.0%"
"Total number of owner households","4,302","5,676","6,424","6,313","5,583"
"Total number of owner households, Margin of Error","","","+/- 250","+/- 197","+/- 163"
"Total number of occupied households","5,126","6,644","7,823","7,640","6,595"
"Total number of occupied households, Margin of Error","","","+/- 296","+/- 262","+/- 177"
"Anoka"
"Homeownership rate","81.2%","83.4%","82.3%","79.9%","80.5%"
"Homeownership rate, Margin of Error","","","+/- 0.6%","+/- 0.6%","+/- 0.7%"
"Total number of owner households","66,971","88,740","99,544","100,028","106,701"
"Total number of owner households, Margin of Error","","","+/- 923","+/- 868","+/- 982"
"Total number of occupied households","82,437","106,428","120,886","125,260","132,559"
"Total number of occupied households, Margin of Error","","","+/- 589","+/- 530","+/- 550"
"Becker"
"Homeownership rate","77.8%","80.5%","78.8%","79.0%","79.0%"
"Homeownership rate, Margin of Error","","","+/- 0.9%","+/- 0.5%","+/- 1.1%"
"Total number of owner households","8,150","9,534","10,599","10,662","10,880"
"Total number of owner households, Margin of Error","","","+/- 233","+/- 210","+/- 249"
"Total number of occupied households","10,477","11,844","13,458","13,495","13,780"
"Total number of occupied households, Margin of Error","","","+/- 257","+/- 252","+/- 249"
"Beltrami"
"Homeownership rate","73.1%","74.5%","71.8%","68.9%","68.0%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 1.2%","+/- 1.8%"
"Total number of owner households","8,680","10,684","11,875","11,647","11,936"
"Total number of owner households, Margin of Error","","","+/- 299","+/- 280","+/- 358"
"Total number of occupied households","11,870","14,337","16,536","16,906","17,555"
"Total number of occupied households, Margin of Error","","","+/- 315","+/- 285","+/- 261"
"Benton"
"Homeownership rate","67.0%","67.3%","71.4%","69.1%","66.4%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 1.5%","+/- 1.6%"
"Total number of owner households","7,331","8,795","10,809","10,860","10,858"
"Total number of owner households, Margin of Error","","","+/- 333","+/- 282","+/- 323"
"Total number of occupied households","10,935","13,065","15,139","15,726","16,351"
"Total number of occupied households, Margin of Error","","","+/- 285","+/- 219","+/- 301"
"Big Stone"
"Homeownership rate","80.9%","85.1%","79.2%","78.8%","73.0%"
"Homeownership rate, Margin of Error","","","+/- 1.8%","+/- 1.4%","+/- 3.3%"
"Total number of owner households","1,993","2,022","1,897","1,753","1,661"
"Total number of owner households, Margin of Error","","","+/- 78","+/- 72","+/- 97"
"Total number of occupied households","2,463","2,377","2,395","2,226","2,276"
"Total number of occupied households, Margin of Error","","","+/- 82","+/- 82","+/- 83"
"Blue Earth"
"Homeownership rate","64.0%","66.4%","66.8%","63.0%","62.9%"
