,2017-2021
Aitkin,
Homeownership rate,84.70%
"Homeownership rate, Margin of Error",+/- 1.0%
Total number of owner households,"5,583"
"Total number of owner households, Margin of Error",+/- 163
Total number of occupied households,"6,595"
"Total number of occupied households, Margin of Error",+/- 177
Anoka,
Homeownership rate,80.50%
"Homeownership rate, Margin of Error",+/- 0.7%
Total number of owner households,"106,701"
"Total number of owner households, Margin of Error",+/- 982
Total number of occupied households,"132,559"
"Total number of occupied households, Margin of Error",+/- 550
Becker,
Homeownership rate,79.00%
"Homeownership rate, Margin of Error",+/- 1.1%
Total number of owner households,"10,880"
"Total number of owner households, Margin of Error",+/- 249
Total number of occupied households,"13,780"
"Total number of occupied households, Margin of Error",+/- 249
Beltrami,
Homeownership rate,68.00%
"Homeownership rate, Margin of Error",+/- 1.8%
Total number of owner households,"11,936"
"Total number of owner households, Margin of Error",+/- 358
Total number of occupied households,"17,555"
"Total number of occupied households, Margin of Error",+/- 261
Benton,
Homeownership rate,66.40%
"Homeownership rate, Margin of Error",+/- 1.6%
Total number of owner households,"10,858"
"Total number of owner households, Margin of Error",+/- 323
Total number of occupied households,"16,351"
"Total number of occupied households, Margin of Error",+/- 301
Big Stone,
Homeownership rate,73.00%
"Homeownership rate, Margin of Error",+/- 3.3%
Total number of owner households,"1,661"
"Total number of owner households, Margin of Error",+/- 97
Total number of occupied households,"2,276"
"Total number of occupied households, Margin of Error",+/- 83
Blue Earth,
Homeownership rate,62.90%
"Homeownership rate, Margin of Error",+/- 1.1%
Total number of owner households,"16,737"
"Total number of owner households, Margin of Error",+/- 397
Total number of occupied households,"26,630"
"Total number of occupied households, Margin of Error",+/- 417
Brown,
Homeownership rate,77.90%
"Homeownership rate, Margin of Error",+/- 1.7%
Total number of owner households,"8,394"
"Total number of owner households, Margin of Error",+/- 269
Total number of occupied households,"10,773"
"Total number of occupied households, Margin of Error",+/- 252
Carlton,
Homeownership rate,79.60%
"Homeownership rate, Margin of Error",+/- 1.3%
Total number of owner households,"10,814"
"Total number of owner households, Margin of Error",+/- 343
Total number of occupied households,"13,587"
"Total number of occupied households, Margin of Error",+/- 372
Carver,
Homeownership rate,82.70%
"Homeownership rate, Margin of Error",+/- 1.3%
Total number of owner households,"31,595"
"Total number of owner households, Margin of Error",+/- 550
Total number of occupied households,"38,213"
"Total number of occupied households, Margin of Error",+/- 323
Cass,
Homeownership rate,83.80%
"Homeownership rate, Margin of Error",+/- 0.1%
Total number of owner households,"10,412"
"Total number of owner households, Margin of Error",+/- 205
Total number of occupied households,"12,431"
"Total number of occupied households, Margin of Error",+/- 244
Chippewa,
Homeownership rate,69.00%
"Homeownership rate, Margin of Error",+/- 3.0%
Total number of owner households,"3,617"
"Total number of owner households, Margin of Error",+/- 178
Total number of occupied households,"5,240"
"Total number of occupied households, Margin of Error",+/- 126
Chisago,
Homeownership rate,86.30%
"Homeownership rate, Margin of Error",+/- 1.1%
Total number of owner households,"17,747"
"Total number of owner households, Margin of Error",+/- 320
Total number of occupied households,"20,565"
"Total number of occupied households, Margin of Error",+/- 268
Clay,
Homeownership rate,66.90%
"Homeownership rate, Margin of Error",+/- 1.3%
Total number of owner households,"16,715"
"Total number of owner households, Margin of Error",+/- 395
Total number of occupied households,"24,998"
"Total number of occupied households, Margin of Error",+/- 356
Clearwater,
Homeownership rate,80.80%
"Homeownership rate, Margin of Error",+/- 1.4%
Total number of owner households,"2,597"
"Total number of owner households, Margin of Error",+/- 91
Total number of occupied households,"3,215"
"Total number of occupied households, Margin of Error",+/- 98
Cook,
Homeownership rate,79.50%
"Homeownership rate, Margin of Error",+/- 6.9%
Total number of owner households,"1,987"
"Total number of owner households, Margin of Error",+/- 112
Total number of occupied households,"2,499"
"Total number of occupied households, Margin of Error",+/- 166
