"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,98,2,0,99,94,5,1,96,91,8,1,96,90,9,1,96,,1249,322,26,01/01/2021,12/31/2021
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,96,3,1,98,92,6,2,95,88,9,3,95,90,8,2,96,,1400,305,22,01/01/2021,12/31/2021
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,96,4,0,98,91,7,2,95,88,10,2,95,85,13,2,94,,1638,441,29,01/01/2021,12/31/2021
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,97,3,0,99,90,8,2,94,88,10,2,95,86,11,3,94,,1528,343,22,01/01/2021,12/31/2021
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98,2,0,99,91,8,1,95,92,7,1,96,87,11,2,94,,1063,267,25,01/01/2021,12/31/2021
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,98,2,0,99,88,9,3,93,91,8,1,96,88,11,1,95,,1203,292,24,01/01/2021,12/31/2021
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,98,2,0,99,92,7,1,96,90,7,3,95,88,10,2,95,,1201,245,20,01/01/2021,12/31/2021
03C0001259,ARIZONA GASTROENTEROLOGY LTD,"7566 N. LA CHOLLA BLVD., STE. B",TUCSON,AZ,85741,,(520) 547-5847,94,5,1,97,89,8,3,93,84,13,3,94,78,19,3,91,,1223,403,33,01/01/2021,12/31/2021
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,94,5,1,97,88,9,3,93,82,13,5,92,80,15,5,91,,1980,311,16,01/01/2021,12/31/2021
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,98,2,0,99,92,7,1,96,92,7,1,96,89,10,1,96,,845,252,30,01/01/2021,12/31/2021
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,97,3,0,98,88,10,2,93,87,11,2,94,80,17,3,92,,1049,309,29,01/01/2021,12/31/2021
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,97,2,1,98,91,7,2,95,89,9,2,95,88,10,2,95,,883,345,39,01/01/2021,12/31/2021
03C0001298,SURGICAL ELITE OF AVONDALE,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,97,3,0,98,90,8,2,94,89,9,2,95,88,10,2,95,,1663,292,18,01/01/2021,12/31/2021
03C0001302,PINNACLE SURGERY CENTER OF PEORIA LLC,6790 W. THUNDERBIRD RD.,PEORIA,AZ,85381,,(623) 979-1717,98,2,0,99,91,7,2,94,90,9,1,96,87,12,1,95,,1344,317,24,01/01/2021,12/31/2021
03C0001305,DESERT RIDGE OUTPATIENT SURGERY CENTER,20940 NORTH TATUM BLVD SUITE 100,PHOENIX,AZ,85050,,(480) 502-4000,98,2,0,99,89,9,2,94,88,11,1,95,84,16,0,94,,1006,271,27,01/01/2021,12/31/2021
03C0001313,SOUTHWEST ENDOSCOPY AND SURGICENTER LLC,"2223 E. BASELINE RD, STE. B",GILBERT,AZ,85234,,(480) 289-5266,,,,,,,,,,,,,,,,,4,,,,,
03C0001347,SURGCENTER AT PARADISE VALLEY LLC DBA SURGCENTER AT PIMA CROSSING,8415 NORTH PIMA RD SUITE 190,SCOTTSDALE,AZ,85258,,(480) 800-3206,,,,,,,,,,,,,,,,,4,,,,,
03C0001352,SURGCENTER OF DEER VALLEY LLC,19820 NORTH 7TH ST SUITE 190,PHOENIX,AZ,85024,,(602) 904-7039,,,,,,,,,,,,,,,,,4,,,,,
03C0001356,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,18555 NORTH 79TH AVE BUILDING C,GLENDALE,AZ,85308,,(623) 776-2500,96,3,1,97,93,6,1,96,87,12,1,95,85,13,2,94,,1822,361,20,01/01/2021,12/31/2021
03C0001357,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,2450 EAST GUADALUPE RD SUITE 101,GILBERT,AZ,85234,,(480) 398-8456,97,3,0,99,92,7,1,96,89,10,1,96,86,12,2,94,,941,204,22,01/01/2021,12/31/2021
03C0001361,SURGCENTER CAMELBACK,6245 NORTH 24TH PARKWAY SUITE 112,PHOENIX,AZ,85016,,(602) 682-7005,,,,,,,,,,,,,,,,,4,,,,,
03C0001395,ORTHOARIZONA SURGERY CENTER GILBERT,1675 EAST MELROSE ST SUITE 201,GILBERT,AZ,85297,,(480) 519-8100,98,2,0,99,93,6,1,96,93,6,1,97,92,7,1,97,,1522,540,35,01/01/2021,12/31/2021
03C0001414,WESTGATE SURGERY CENTER,7730 NORTH 99TH AVE SUITE 100,GLENDALE,AZ,85307,,(623) 888-5500,99,1,0,99,92,7,1,95,91,8,1,96,87,12,1,95,,529,156,30,01/01/2021,12/31/2021
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,97,3,0,99,89,9,2,94,85,13,2,94,82,16,2,93,,808,262,32,01/01/2021,12/31/2021
05C0001174,MISSION AMBULATORY SURGICENTER,26730 CROWN VALLEY PARKWAY SUITE 100,MISSION VIEJO,CA,92691,,(949) 364-2201,96,3,1,98,88,10,2,93,87,9,4,94,83,15,2,93,,1573,419,27,01/01/2021,12/31/2021
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,95,5,0,97,88,8,4,92,82,16,2,93,77,20,3,91,,1241,358,29,01/01/2021,12/31/2021
05C0001321,EL MIRADOR SURGICAL CENTER,1180 N. INDIAN CANYON #110,PALM SPRINGS,CA,92262,,(469) 893-6573,97,3,0,98,88,9,3,92,88,9,3,95,88,10,2,95,,1095,351,32,01/01/2021,12/31/2021
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,97,3,0,99,89,9,2,93,90,9,1,95,88,11,1,95,,1380,299,22,01/01/2021,12/31/2021
