"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
AK,2021,94.61,95.60,N/A (5),N/A (5),0,8,0,1,99.59,99.95,0.38,0.20,0,7,0,4,0,5,0,3,N/A (5)
AK,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),80.70
AL,2021,83.33,91.33,100.00,N/A (5),0,23,0,2,75.53,100.00,0.22,0.18,0,20,0,9,0,9,0,4,N/A (5)
AL,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),71.20
AR,2021,95.65,93.38,99.10,99.04,0,21,1,1,96.87,99.62,0.24,0.14,0,12,0,18,0,1,0,4,N/A (5)
AR,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.90
AZ,2021,79.54,87.91,100.00,100.00,0,56,0,4,99.44,100.00,0.23,0.17,0,52,0,46,0,12,0,16,N/A (5)
AZ,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.30
CA,2021,79.44,92.81,96.36,99.46,2,256,0,30,93.18,100.00,0.46,0.34,0,170,0,178,0,63,0,69,N/A (5)
CA,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.70
CO,2021,86.60,93.65,100.00,100.00,0,44,0,3,85.04,100.00,0.24,0.21,0,45,0,22,0,15,0,16,N/A (5)
CO,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.90
CT,2021,85.98,88.36,N/A (5),N/A (5),0,26,0,1,96.89,98.07,0.40,0.40,0,23,0,4,0,5,0,3,N/A (5)
CT,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.40
DC,2021,69.00,68.85,N/A (5),N/A (5),0,2,0,0,N/A (5),N/A (5),N/A (5),N/A (5),0,1,0,1,0,1,0,0,N/A (5)
DC,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),100.00
DE,2021,92.32,92.31,99.37,99.37,0,13,0,1,98.22,99.93,0.18,0.10,0,9,0,1,0,2,0,1,N/A (5)
DE,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),96.90
