"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite","PSI 90 Composite Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,2023,N/A,5,N/A,5,N/A,N/A,0.4760,,N/A,5,0.3060,,N/A,5,0.8220,,N/A,5,0.6440,,N/A,5,0.9120,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MARSHALL MEDICAL CENTERS,010005,AL,2023,N/A,5,N/A,5,N/A,N/A,3.3110,,N/A,5,2.3500,,N/A,5,0.3560,,N/A,5,0.8600,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTH ALABAMA MEDICAL CENTER,010006,AL,2023,N/A,5,N/A,5,N/A,N/A,0.5070,,N/A,5,0.6020,,N/A,5,0.7500,,N/A,5,0.0800,,N/A,5,1.6400,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MIZELL MEMORIAL HOSPITAL,010007,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.4100,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST. VINCENT'S EAST,010011,AL,2023,N/A,5,N/A,5,N/A,N/A,0.7280,,N/A,5,0.9270,,N/A,5,0.4720,,N/A,5,0.6070,,N/A,5,1.3460,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.3680,,N/A,5,0.0000,,N/A,5,0.4770,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2023,N/A,5,N/A,5,N/A,N/A,0.4290,,N/A,5,0.5800,,N/A,5,0.2730,,N/A,5,0.2540,,N/A,5,1.6640,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CALLAHAN EYE HOSPITAL,010018,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,18,N/A,5,N/A,18,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HELEN KELLER HOSPITAL,010019,AL,2023,N/A,5,N/A,5,N/A,N/A,2.5230,,N/A,5,0.4840,,N/A,5,0.0000,,N/A,5,0.4830,,N/A,5,4.4940,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
DALE MEDICAL CENTER,010021,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CHEROKEE MEDICAL CENTER,010022,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BAPTIST MEDICAL CENTER SOUTH,010023,AL,2023,N/A,5,N/A,5,N/A,N/A,1.8030,,N/A,5,1.6420,,N/A,5,1.0870,,N/A,5,1.1070,,N/A,5,3.8710,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
JACKSON HOSPITAL & CLINIC INC,010024,AL,2023,N/A,5,N/A,5,N/A,N/A,3.9740,,N/A,5,2.5550,,N/A,5,0.3610,,N/A,5,0.8110,,N/A,5,1.9560,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,2023,N/A,5,N/A,5,N/A,N/A,2.1770,,N/A,5,0.9060,,N/A,5,1.6030,,N/A,5,0.6630,,N/A,5,3.0130,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,2023,N/A,5,N/A,5,N/A,N/A,1.0710,,N/A,5,0.5710,,N/A,5,0.4460,,N/A,5,0.3980,,N/A,5,1.7980,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
COMMUNITY HOSPITAL INC,010034,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,2023,N/A,5,N/A,5,N/A,N/A,1.1490,,N/A,5,1.7330,,N/A,5,0.0000,,N/A,5,0.4530,,N/A,5,1.2870,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
