"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
010001,MSPB-1,1.016841,,01/01/2021,12/31/2021
010005,MSPB-1,0.957810,,01/01/2021,12/31/2021
010006,MSPB-1,0.994638,,01/01/2021,12/31/2021
010007,MSPB-1,1.016687,,01/01/2021,12/31/2021
010008,MSPB-1,0.944324,,01/01/2021,12/31/2021
010011,MSPB-1,0.993673,,01/01/2021,12/31/2021
010012,MSPB-1,0.997522,,01/01/2021,12/31/2021
010016,MSPB-1,1.017997,,01/01/2021,12/31/2021
010018,MSPB-1,N/A,1,01/01/2021,12/31/2021
010019,MSPB-1,1.054691,,01/01/2021,12/31/2021
010021,MSPB-1,1.008424,,01/01/2021,12/31/2021
010022,MSPB-1,0.958450,,01/01/2021,12/31/2021
010023,MSPB-1,1.063343,,01/01/2021,12/31/2021
010024,MSPB-1,1.038753,,01/01/2021,12/31/2021
010029,MSPB-1,0.943072,,01/01/2021,12/31/2021
010033,MSPB-1,0.979236,,01/01/2021,12/31/2021
010034,MSPB-1,0.934566,,01/01/2021,12/31/2021
010035,MSPB-1,0.958441,,01/01/2021,12/31/2021
010036,MSPB-1,1.000947,,01/01/2021,12/31/2021
010038,MSPB-1,1.024182,,01/01/2021,12/31/2021
010039,MSPB-1,1.004513,,01/01/2021,12/31/2021
010040,MSPB-1,1.049113,,01/01/2021,12/31/2021
010044,MSPB-1,0.863193,,01/01/2021,12/31/2021
010045,MSPB-1,0.867666,,01/01/2021,12/31/2021
010046,MSPB-1,0.981113,,01/01/2021,12/31/2021
010049,MSPB-1,0.953078,,01/01/2021,12/31/2021
010051,MSPB-1,1.157582,,01/01/2021,12/31/2021
010052,MSPB-1,0.821138,,01/01/2021,12/31/2021
010055,MSPB-1,1.006508,,01/01/2021,12/31/2021
010056,MSPB-1,1.006114,,01/01/2021,12/31/2021
010058,MSPB-1,0.982863,,01/01/2021,12/31/2021
010059,MSPB-1,0.895769,,01/01/2021,12/31/2021
010061,MSPB-1,0.935290,,01/01/2021,12/31/2021
010062,MSPB-1,0.989076,,01/01/2021,12/31/2021
010065,MSPB-1,0.880318,,01/01/2021,12/31/2021
