"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.346,,04/01/2021,03/31/2022
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.855,,04/01/2021,03/31/2022
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.558,,04/01/2021,03/31/2022
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.659,,04/01/2021,03/31/2022
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.353,,04/01/2021,03/31/2022
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.960,,04/01/2021,03/31/2022
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.682,,04/01/2021,03/31/2022
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.687,,04/01/2021,03/31/2022
AK,HAI_3_SIR,SSI - Colon Surgery,1.101,,04/01/2021,03/31/2022
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.698,,04/01/2021,03/31/2022
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,4.220,,04/01/2021,03/31/2022
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.904,,04/01/2021,03/31/2022
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.773,,04/01/2021,03/31/2022
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.673,,04/01/2021,03/31/2022
AK,HAI_5_SIR,MRSA Bacteremia,1.159,,04/01/2021,03/31/2022
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.201,,04/01/2021,03/31/2022
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.402,,04/01/2021,03/31/2022
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.289,,04/01/2021,03/31/2022
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,1.167,,04/01/2021,03/31/2022
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.404,,04/01/2021,03/31/2022
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.281,,04/01/2021,03/31/2022
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.738,,04/01/2021,03/31/2022
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.885,,04/01/2021,03/31/2022
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.809,,04/01/2021,03/31/2022
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.507,,04/01/2021,03/31/2022
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.742,,04/01/2021,03/31/2022
AL,HAI_3_SIR,SSI - Colon Surgery,0.616,,04/01/2021,03/31/2022
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.638,,04/01/2021,03/31/2022
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.101,,04/01/2021,03/31/2022
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.846,,04/01/2021,03/31/2022
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.386,,04/01/2021,03/31/2022
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.719,,04/01/2021,03/31/2022
AL,HAI_5_SIR,MRSA Bacteremia,1.546,,04/01/2021,03/31/2022
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.484,,04/01/2021,03/31/2022
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.554,,04/01/2021,03/31/2022
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.518,,04/01/2021,03/31/2022
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,1.080,,04/01/2021,03/31/2022
