"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","TR-2 Measure Description","TR-2 %","TR-2 Denominator","TR-2 Footnote","Start Date","End Date","FUH Measure Description","FUH-30 %","FUH-30 Denominator","FUH-30 Footnote","FUH-7 %","FUH-7 Denominator","FUH-7 Footnote","FUH Measure Start Date","FUH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date","IPFQR-HCP COVID-19 Measure Description","IPFQR-HCP COVID-19 %","IPFQR-HCP COVID-19 Denominator","IPFQR-HCP COVID-19 Footnote","IPFQR-HCP COVID-19 Start Date","IPFQR-HCP COVID-19 End Date"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Hours of physical-restraint use,0.00,0,2100,,Hours of seclusion use,0.00,0,2100,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,23,,Screening for metabolic disorders (SMD),100,104,,Alcohol use brief intervention provided or offered,76,17,,76,17,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,13,,100,13,,Tobacco use treatment provided or offered,100,43,,65,43,,Tobacco use treatment provided or offered at discharge,100,43,,65,43,,Transition record with specified elements received by discharged patients (TR1),100,166,,Timely transmission of transition record (TR2),100,166,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),74,88,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,Hours of physical-restraint use,0.15,11.91,3282,,Hours of seclusion use,0.16,12.47,3282,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,144,,Screening for metabolic disorders (SMD),92,352,,Alcohol use brief intervention provided or offered,38,82,,29,79,,Alcohol and other drug use disorder treatment provided or offered at discharge,1,310,,0,310,,Tobacco use treatment provided or offered,98,256,,1,256,,Tobacco use treatment provided or offered at discharge,97,234,,0,234,,Transition record with specified elements received by discharged patients (TR1),100,352,,Timely transmission of transition record (TR2),100,352,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58.8,17,,17.6,17,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),90,188,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Hours of physical-restraint use,2.00,669.4,13912,,Hours of seclusion use,0.24,79.59,13912,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),3,188,,Alcohol use brief intervention provided or offered,52,27,,56,25,,Alcohol and other drug use disorder treatment provided or offered at discharge,29,28,,18,28,,Tobacco use treatment provided or offered,0,92,,0,62,,Tobacco use treatment provided or offered at discharge,0,51,,0,51,,Transition record with specified elements received by discharged patients (TR1),48,305,,Timely transmission of transition record (TR2),48,305,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42.7,75,,32,75,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,72.5,138,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),85,119,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Hours of physical-restraint use,0.00,0,3617,,Hours of seclusion use,0.00,0,3617,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,161,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,91,22,,71,21,,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),99,184,,Timely transmission of transition record (TR2),98,184,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),87,87,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Hours of physical-restraint use,0.00,0,13776,,Hours of seclusion use,0.00,0,13776,,Patients discharged on multiple antipsychotic medications with appropriate justification,61,41,,Screening for metabolic disorders (SMD),95,445,,Alcohol use brief intervention provided or offered,86,42,,86,42,,Alcohol and other drug use disorder treatment provided or offered at discharge,79,112,,79,112,,Tobacco use treatment provided or offered,94,157,,85,157,,Tobacco use treatment provided or offered at discharge,43,145,,43,145,,Transition record with specified elements received by discharged patients (TR1),83,623,,Timely transmission of transition record (TR2),82,623,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,42,,21.4,42,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),99,301,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Hours of physical-restraint use,0.00,0,252,,Hours of seclusion use,0.00,0,252,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),82,28,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),0,34,,Timely transmission of transition record (TR2),0,34,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,45.5,11,,0,11,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),100,11,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,Hours of physical-restraint use,0.03,7.25,12053,,Hours of seclusion use,0.88,254.63,12053,,Patients discharged on multiple antipsychotic medications with appropriate justification,93,28,,Screening for metabolic disorders (SMD),86,359,,Alcohol use brief intervention provided or offered,65,79,,65,63,,Alcohol and other drug use disorder treatment provided or offered at discharge,69,141,,63,141,,Tobacco use treatment provided or offered,57,255,,58,187,,Tobacco use treatment provided or offered at discharge,27,169,,8,169,,Transition record with specified elements received by discharged patients (TR1),86,648,,Timely transmission of transition record (TR2),65,648,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,34,97,,12.4,97,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,70.5,149,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),73,306,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Hours of physical-restraint use,0.00,1.34,35992,,Hours of seclusion use,0.01,5.14,35992,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,15,,Screening for metabolic disorders (SMD),86,313,,Alcohol use brief intervention provided or offered,99,280,,100,278,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,266,,98,266,,Tobacco use treatment provided or offered,84,217,,1,217,,Tobacco use treatment provided or offered at discharge,82,197,,1,197,,Transition record with specified elements received by discharged patients (TR1),94,717,,Timely transmission of transition record (TR2),60,717,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,27.6,87,,13.8,87,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,62.4,93,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),77,339,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Hours of physical-restraint use,0.00,0,1385,,Hours of seclusion use,0.00,0,1385,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),100,78,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),78,93,,Timely transmission of transition record (TR2),78,93,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),87,45,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,Hours of physical-restraint use,0.00,0,7917,,Hours of seclusion use,0.00,0,7917,,Patients discharged on multiple antipsychotic medications with appropriate justification,84,57,,Screening for metabolic disorders (SMD),91,383,,Alcohol use brief intervention provided or offered,100,97,,84,97,,Alcohol and other drug use disorder treatment provided or offered at discharge,32,159,,26,159,,Tobacco use treatment provided or offered,100,306,,36,305,,Tobacco use treatment provided or offered at discharge,39,255,,1,255,,Transition record with specified elements received by discharged patients (TR1),93,685,,Timely transmission of transition record (TR2),91,685,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,38.3,107,,14,107,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,64.9,134,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),90,341,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
