"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
AL,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
AR,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
AS,PC_01,Elective Delivery,Not Available,5,04/01/2021,03/31/2022
AZ,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
CA,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
CO,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
CT,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
DC,PC_01,Elective Delivery,0,26,04/01/2021,03/31/2022
DE,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
FL,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
GA,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
GU,PC_01,Elective Delivery,Not Available,5,04/01/2021,03/31/2022
HI,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
IA,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
ID,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
IL,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
IN,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
KS,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
KY,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
LA,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
MA,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
MD,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
ME,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
MI,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
MN,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
MO,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
MP,PC_01,Elective Delivery,Not Available,5,04/01/2021,03/31/2022
MS,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
MT,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
NC,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
ND,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
NE,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
NH,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
NJ,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
NM,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
NV,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
NY,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
OH,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
OK,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
OR,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
PA,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
PR,PC_01,Elective Delivery,5,26,04/01/2021,03/31/2022
RI,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
SC,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
SD,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
TN,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
TX,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
UT,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
VA,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
VI,PC_01,Elective Delivery,Not Available,5,04/01/2021,03/31/2022
VT,PC_01,Elective Delivery,8,26,04/01/2021,03/31/2022
WA,PC_01,Elective Delivery,3,26,04/01/2021,03/31/2022
WI,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
WV,PC_01,Elective Delivery,1,26,04/01/2021,03/31/2022
WY,PC_01,Elective Delivery,2,26,04/01/2021,03/31/2022
