"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,(256) 593-8310,97,3,0,99,93,6,1,96,87,12,1,94,80,19,1,93,,2699,602,22,01/01/2021,12/31/2021
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,Crenshaw,(334) 335-3374,100,0,0,100,96,3,1,98,84,16,0,95,83,17,0,95,3,160,51,33,01/01/2021,12/31/2021
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,(205) 620-8100,96,3,1,97,90,8,2,94,83,14,3,93,82,16,2,93,,1905,435,23,01/01/2021,12/31/2021
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Colbert,(256) 386-4556,97,3,0,98,92,6,2,95,87,11,2,94,88,11,1,95,,3062,746,25,01/01/2021,12/31/2021
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,Dale,(334) 774-2601,96,4,0,98,94,5,1,96,86,13,1,96,92,7,1,97,,821,250,31,01/01/2021,12/31/2021
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,Montgomery,(334) 288-2100,94,5,1,96,92,6,2,95,82,13,5,92,86,12,2,94,,2903,824,29,01/01/2021,12/31/2021
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,Lee,(334) 749-3411,96,3,1,97,91,7,2,94,85,14,1,94,86,13,1,95,,1769,428,24,01/01/2021,12/31/2021
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,Cullman,(256) 737-2000,95,5,0,98,92,7,1,95,81,17,2,93,75,23,2,91,,1421,353,25,01/01/2021,12/31/2021
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,Madison,(256) 265-1000,97,3,0,98,90,8,2,94,85,13,2,94,86,12,2,94,,5440,1265,23,01/01/2021,12/31/2021
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,Marion,(205) 921-6200,98,2,0,99,91,7,2,95,88,11,1,95,82,16,2,93,3,324,93,29,01/01/2021,12/31/2021
