"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,96,4,0,98,92,6,2,95,83,15,2,93,82,16,2,93,61188,14611,24,01/01/2021,12/31/2021
Alaska,95,4,1,98,90,8,2,95,81,16,3,92,81,17,2,93,3934,789,20,01/01/2021,12/31/2021
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,96,3,1,98,89,9,2,94,84,13,3,93,79,18,3,91,22341,5945,27,01/01/2021,12/31/2021
Arkansas,97,2,1,98,91,7,2,94,85,12,3,94,81,16,3,92,14256,3207,23,01/01/2021,12/31/2021
California,96,3,1,97,89,8,3,93,84,13,3,94,83,14,3,93,347245,86462,26,01/01/2021,12/31/2021
Colorado,97,2,1,98,91,7,2,95,86,11,3,94,83,15,2,93,62977,15675,25,01/01/2021,12/31/2021
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,95,85,12,3,94,82,16,2,93,21309,5568,26,01/01/2021,12/31/2021
Delaware,98,2,0,99,93,5,2,96,90,8,2,95,85,13,2,94,7449,1952,27,01/01/2021,12/31/2021
District of Columbia,90,8,2,94,86,11,3,92,75,18,7,90,77,18,5,90,2566,496,19,01/01/2021,12/31/2021
Florida,95,4,1,97,89,8,3,93,84,13,3,93,83,14,3,93,78015,18033,24,01/01/2021,12/31/2021
Georgia,97,3,0,98,92,6,2,95,85,12,3,94,84,14,2,94,35090,7640,22,01/01/2021,12/31/2021
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,89,9,2,94,82,15,3,93,83,15,2,94,9324,2701,30,01/01/2021,12/31/2021
Idaho,96,4,0,98,90,9,1,95,84,14,2,93,81,18,1,93,22256,6259,28,01/01/2021,12/31/2021
Illinois,97,3,0,98,91,7,2,95,86,12,2,94,80,18,2,92,77554,18982,25,01/01/2021,12/31/2021
Indiana,97,3,0,99,91,7,2,95,88,10,2,95,83,15,2,94,36083,8914,26,01/01/2021,12/31/2021
Iowa,98,2,0,99,92,7,1,95,86,12,2,94,81,17,2,93,55289,16905,33,01/01/2021,12/31/2021
Kansas,97,3,0,98,91,7,2,94,84,13,3,94,81,17,2,93,24390,5764,24,01/01/2021,12/31/2021
Kentucky,97,3,0,98,92,7,1,95,86,12,2,94,83,15,2,94,17384,3708,21,01/01/2021,12/31/2021
Louisiana,97,3,0,98,92,6,2,95,87,11,2,95,85,13,2,94,34803,7179,21,01/01/2021,12/31/2021
Maine,97,3,0,98,93,6,1,96,83,14,3,93,82,16,2,93,15960,4499,28,01/01/2021,12/31/2021
Maryland,98,2,0,99,92,6,2,95,88,10,2,95,84,14,2,94,12095,2934,24,01/01/2021,12/31/2021
Massachusetts,97,3,0,98,91,7,2,95,85,13,2,94,83,15,2,93,34789,8724,25,01/01/2021,12/31/2021
Michigan,97,3,0,98,92,6,2,95,84,13,3,93,78,19,3,91,60106,15702,26,01/01/2021,12/31/2021
Minnesota,98,2,0,99,91,7,2,94,85,13,2,94,81,17,2,93,16800,4910,29,01/01/2021,12/31/2021
Mississippi,97,3,0,98,92,6,2,95,86,12,2,95,84,13,3,93,25060,5133,21,01/01/2021,12/31/2021
Missouri,97,3,0,98,91,7,2,95,86,11,3,94,82,16,2,93,39307,9279,24,01/01/2021,12/31/2021
Montana,97,3,0,98,91,8,1,95,84,14,2,93,80,18,2,93,19619,5284,27,01/01/2021,12/31/2021
Nebraska,97,3,0,98,91,7,2,95,84,13,3,93,82,16,2,93,13765,3751,29,01/01/2021,12/31/2021
Nevada,95,4,1,97,88,9,3,92,83,14,3,93,82,15,3,92,15942,3640,23,01/01/2021,12/31/2021
New Hampshire,97,3,0,98,92,7,1,96,85,13,2,94,83,15,2,94,10267,3303,32,01/01/2021,12/31/2021
New Jersey,96,4,0,98,89,8,3,93,85,12,3,94,82,15,3,93,20986,5008,24,01/01/2021,12/31/2021
New Mexico,96,3,1,98,91,7,2,95,85,12,3,94,82,16,2,93,20295,4113,20,01/01/2021,12/31/2021
New York,96,4,0,98,91,7,2,94,84,13,3,93,80,18,2,92,111128,26423,24,01/01/2021,12/31/2021
North Carolina,97,3,0,98,92,7,1,95,87,11,2,94,83,15,2,93,81511,21238,26,01/01/2021,12/31/2021
North Dakota,97,3,0,99,92,6,2,95,79,18,3,92,72,26,2,90,9692,2726,28,01/01/2021,12/31/2021
Ohio,97,3,0,98,91,7,2,95,87,11,2,94,82,16,2,93,141272,34936,25,01/01/2021,12/31/2021
Oklahoma,97,3,0,98,91,7,2,95,88,10,2,95,86,12,2,94,50170,10976,22,01/01/2021,12/31/2021
Oregon,97,3,0,98,91,7,2,95,86,12,2,94,85,14,1,94,19400,5106,27,01/01/2021,12/31/2021
Pennsylvania,97,3,0,98,91,7,2,95,86,12,2,94,83,15,2,93,113479,29170,26,01/01/2021,12/31/2021
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,97,2,1,98,89,8,3,93,85,13,2,94,84,14,2,94,23484,5646,24,01/01/2021,12/31/2021
South Carolina,97,3,0,98,91,7,2,95,84,13,3,94,82,16,2,93,26320,6536,25,01/01/2021,12/31/2021
South Dakota,97,3,0,98,91,8,1,95,86,12,2,94,85,13,2,94,16258,2786,17,01/01/2021,12/31/2021
Tennessee,96,3,1,98,91,7,2,95,85,12,3,94,83,14,3,93,67808,15364,23,01/01/2021,12/31/2021
