"Measure ID","Measure Name","Condition","Category","Score","Footnote","Start Date","End Date"
HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,Healthcare Personnel Vaccination,Healthcare workers given COVID-19 vaccination,87.9,,01/01/2022,03/31/2022
IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,Healthcare Personnel Vaccination,Healthcare workers given influenza vaccination,80,,10/01/2021,03/31/2022
OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Emergency Department,OP-18,159,"25, 26",04/01/2021,03/31/2022
OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,202,"25, 26",04/01/2021,03/31/2022
OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,127,"25, 26",04/01/2021,03/31/2022
OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,170,"25, 26",04/01/2021,03/31/2022
OP_18b_NINETIETH,Top ten percent time patients spent in the emergency department before being sent home A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,101,"25, 26",04/01/2021,03/31/2022
OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,188,"25, 26",04/01/2021,03/31/2022
OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,Emergency Department,OP-18,264,25,04/01/2021,03/31/2022
OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,342,25,04/01/2021,03/31/2022
OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,201,25,04/01/2021,03/31/2022
OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,271,25,04/01/2021,03/31/2022
OP_18c_NINETIETH,Top ten percent time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients. A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,128,25,04/01/2021,03/31/2022
OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,327,25,04/01/2021,03/31/2022
OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,Heart Attack or Chest Pain,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,53,26,04/01/2021,03/31/2022
OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,Emergency Department,Left before being seen,3,"25, 26",01/01/2021,12/31/2021
