"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,4,0,13
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,3,3,13
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,8,3,11
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,5,0,3,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,11,0,10,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,8,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,16,1,4,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,11,0,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,20,8,37
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,50,13,23
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,49,22,16
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,72,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,1,35,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,17,0,35,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,40,4,27,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,30,0,37,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_CABG,Rate of readmission for CABG,0,20,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,64,0,24,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,67,0,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,38,1,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,83,0,5,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,72,0,16,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,16,6,30
AR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,35,14,21
AR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,46,17,12
AR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,54,0,6,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,14,0,26,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
