"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","Score","Sample","Footnote","Start Date","End Date"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,"7, 20",01/01/2021,12/31/2021
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,"7, 20",01/01/2021,12/31/2021
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,98,50,"2, 20",01/01/2021,12/31/2021
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,95,65,"2, 20",01/01/2021,12/31/2021
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,91,191,"2, 20",01/01/2021,12/31/2021
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,95,149,"2, 20",01/01/2021,12/31/2021
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,12.4,6634,20,01/01/2021,12/31/2021
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,6634,20,01/01/2021,12/31/2021
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,72,128,"2, 20",01/01/2021,12/31/2021
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,64,147,"2, 20",01/01/2021,12/31/2021
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,37,230,"2, 20",01/01/2021,12/31/2021
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,28,160,"2, 20",01/01/2021,12/31/2021
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.04,11952,20,01/01/2021,12/31/2021
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.01,11952,20,01/01/2021,12/31/2021
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,96,195,"2, 20",01/01/2021,12/31/2021
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,95,368,"2, 20",01/01/2021,12/31/2021
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,89,373,"2, 20",01/01/2021,12/31/2021
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,96,296,"2, 20",01/01/2021,12/31/2021
