Fiscal Year,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,MORT-30-COPD Achievement Threshold,MORT-30-COPD Benchmark,MORT-30-COPD Baseline Rate,MORT-30-COPD Performance Rate,MORT-30-COPD Achievement Points,MORT-30-COPD Improvement Points,MORT-30-COPD Measure Score,MORT-30-CABG Achievement Threshold,MORT-30-CABG Benchmark,MORT-30-CABG Baseline Rate,MORT-30-CABG Performance Rate,MORT-30-CABG Achievement Points,MORT-30-CABG Improvement Points,MORT-30-CABG Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
2023,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.866548,0.885499,0.870565,0.874377,4 out of 10,2 out of 9,4 out of 10,0.881939,0.906798,0.885073,0.914148,10 out of 10,9 out of 9,10 out of 10,0.840138,0.871741,0.843051,0.838418,Not Available,Not Available,Not Available,0.919769,0.936349,0.899833,0.918400,0 out of 10,5 out of 9,5 out of 10,0.968747,0.979620,0.964957,0.953400,0 out of 10,0 out of 9,0 out of 10,0.027428,0.019779,0.041143,0.024390,4 out of 10,7 out of 9,7 out of 10
2023,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.866548,0.885499,0.856504,0.873459,4 out of 10,5 out of 9,5 out of 10,0.881939,0.906798,0.848032,0.834068,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.797336,0.776138,Not Available,Not Available,Not Available,0.919769,0.936349,0.908701,0.912705,0 out of 10,1 out of 9,1 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.031273,0.017911,10 out of 10,9 out of 9,10 out of 10
2023,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.866548,0.885499,0.844498,0.836183,0 out of 10,0 out of 9,0 out of 10,0.881939,0.906798,0.870836,0.874387,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.823683,0.823979,Not Available,Not Available,Not Available,0.919769,0.936349,0.927433,0.921463,1 out of 10,0 out of 9,1 out of 10,0.968747,0.979620,0.955079,0.964657,0 out of 10,3 out of 9,3 out of 10,0.027428,0.019779,0.038103,0.032998,0 out of 10,2 out of 9,2 out of 10
2023,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,0.866548,0.885499,0.865244,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.853712,0.865286,0 out of 10,2 out of 9,2 out of 10,0.840138,0.871741,0.775500,0.777866,Not Available,Not Available,Not Available,0.919769,0.936349,0.919674,0.899788,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.027864,Not Available,Not Available,Not Available,Not Available
2023,010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,0.866548,0.885499,0.868232,0.866983,1 out of 10,0 out of 9,1 out of 10,0.881939,0.906798,0.875159,0.879817,0 out of 10,1 out of 9,1 out of 10,0.840138,0.871741,0.829594,0.824947,Not Available,Not Available,Not Available,0.919769,0.936349,0.917173,0.916934,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.961724,0.965239,0 out of 10,1 out of 9,1 out of 10,0.027428,0.019779,0.035758,0.023839,5 out of 10,7 out of 9,7 out of 10
2023,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.866548,0.885499,0.844477,0.870901,3 out of 10,6 out of 9,6 out of 10,0.881939,0.906798,0.862372,0.884114,1 out of 10,4 out of 9,4 out of 10,0.840138,0.871741,0.762411,0.798862,Not Available,Not Available,Not Available,0.919769,0.936349,0.921856,0.917208,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,0.024386,4 out of 10,Not Available,4 out of 10
2023,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.866548,0.885499,0.837491,0.881546,8 out of 10,9 out of 9,9 out of 10,0.881939,0.906798,0.864148,0.879560,0 out of 10,3 out of 9,3 out of 10,0.840138,0.871741,0.830741,0.826621,Not Available,Not Available,Not Available,0.919769,0.936349,0.926945,0.915149,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.962541,0.971075,2 out of 10,4 out of 9,4 out of 10,0.027428,0.019779,0.023938,0.024945,3 out of 10,0 out of 9,3 out of 10
2023,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.866548,0.885499,0.857136,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.865882,0.870823,0 out of 10,1 out of 9,1 out of 10,0.840138,0.871741,0.818731,0.782397,Not Available,Not Available,Not Available,0.919769,0.936349,0.924675,0.926025,4 out of 10,1 out of 9,4 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.017043,0.027927,0 out of 10,0 out of 9,0 out of 10
2023,010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.879177,0.886243,2 out of 10,2 out of 9,2 out of 10,0.840138,0.871741,0.850726,0.836442,Not Available,Not Available,Not Available,0.919769,0.936349,0.939300,0.907758,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.040088,Not Available,Not Available,Not Available,Not Available
2023,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.866548,0.885499,0.869930,0.861063,0 out of 10,0 out of 9,0 out of 10,0.881939,0.906798,0.886043,0.879301,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.831037,0.826244,Not Available,Not Available,Not Available,0.919769,0.936349,0.902028,0.900909,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.942924,0.961060,0 out of 10,4 out of 9,4 out of 10,0.027428,0.019779,0.026628,0.019341,10 out of 10,9 out of 9,10 out of 10
