Fiscal Year,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Outcomes Domain Score,Weighted Normalized Clinical Outcomes Domain Score,Unweighted Person And Community Engagement Domain Score,Weighted Person And Community Engagement Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency And Cost Reduction Domain Score,Weighted Efficiency And Cost Reduction Domain Score,Total Performance Score
2023,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,52.000000000000,13.000000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,40.000000000000,10.000000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,12.000000000000,3.000000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,10.000000000000,2.500000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,20.000000000000,5.000000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,35.000000000000,8.750000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,38.000000000000,9.500000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,16.666666666667,4.166666666667,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,10.000000000000,2.500000000000,Not Available,Not Available,Not Available,Not Available,20.000000000000,5.000000000000,Not Available
2023,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,28.000000000000,7.000000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,22.000000000000,5.500000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,50.000000000000,12.500000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,27.500000000000,6.875000000000,Not Available,Not Available,Not Available,Not Available,20.000000000000,5.000000000000,Not Available
2023,010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,43.333333333333,10.833333333333,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,38.000000000000,9.500000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,42.000000000000,10.500000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,25.000000000000,6.250000000000,Not Available,Not Available,Not Available,Not Available,80.000000000000,20.000000000000,Not Available
2023,010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,32.500000000000,8.125000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,30.000000000000,7.500000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,6.000000000000,1.500000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,60.000000000000,15.000000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,0.000000000000,0.000000000000,Not Available,Not Available,Not Available,Not Available,40.000000000000,10.000000000000,Not Available
2023,010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,13.333333333333,3.333333333333,Not Available,Not Available,Not Available,Not Available,70.000000000000,17.500000000000,Not Available
2023,010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,37.500000000000,9.375000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,33.333333333333,8.333333333333,Not Available,Not Available,Not Available,Not Available,40.000000000000,10.000000000000,Not Available
2023,010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,37.500000000000,9.375000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,20.000000000000,5.000000000000,Not Available,Not Available,Not Available,Not Available,40.000000000000,10.000000000000,Not Available
2023,010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,0.000000000000,0.000000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,26.666666666667,6.666666666667,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,34.000000000000,8.500000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,42.000000000000,10.500000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,0.000000000000,0.000000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,34.000000000000,8.500000000000,Not Available,Not Available,Not Available,Not Available,30.000000000000,7.500000000000,Not Available
2023,010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,15.000000000000,3.750000000000,Not Available,Not Available,Not Available,Not Available,10.000000000000,2.500000000000,Not Available
2023,010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,30.000000000000,7.500000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
2023,010104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,38.000000000000,9.500000000000,Not Available,Not Available,Not Available,Not Available,0.000000000000,0.000000000000,Not Available
